"About Fund","Fund","Country","USD","Stage","Value (Original Currency)","Original Currency (ISO)","Purpose","Target Population","Fund Link","INDIGO Link","Fund Value","Evaluation Report","Notes","Static FX Date","INDIGO ID","Fund Convener","ImpactDB ID"
"More details","Brabant Outcomes Fund","Netherlands","1.1","Not known","1,000,000.0","EUR","The Brabant Outcomes Fund intends to explore the use of results-based financing contracts at the provincial level in Noord Brabant, Netherlands","Social entrepreneurs","View","View","€1M","","","15/06/2024 06:39 PM","INDIGO-FUND-0014","Provincial Government of Noord-Brabant","impactdb_of_9"
"More details","Care Leavers Fund","United Kingdom","6.3","Not known","5,000,000.0","GBP","The Care Leavers Programme seeks to support care leavers to participate in sustained education, employment and training (EET) through Social Impact Bonds and to to build an evidence base of what works to support care leavers into EET.","Fund backing rojects to deliver support to care leavers aged 16 to 25 not in education, employment or training (NEET), or who were at risk of becoming NEET.","","View","£5M","View","","15/06/2024 05:52 PM","INDIGO-FUND-0013","HM Department for Education","impactdb_of_1"
"More details","Commissioning Better Outcomes (CBO)","United Kingdom","61.5","Historic","40,000,000.0","GBP","The overarching aim was to grow the market in SIBs, while each fund had a specific focus that reflected the missions of The National Lottery Community Fund and Cabinet Office. For The National Lottery Community Fund, this was to enable more people, particularly those most in need, to lead fulfilling lives, in enriching places and as part of successful communities. For the Cabinet Office, this was to catalyse and test innovative approaches to tackling complex issues using outcomes based commissioning.","A variety of SIBs were supported","View","View","£60M","","","14/06/2024 05:10 PM","INDIGO-FUND-0003","National Lottery Community Fund and Cabinet Office","impactdb_of_2"
"More details","Commonwealth Outcomes Fund","Australia","66.1","Pipeline","100,000,000.0","AUD","The Australian Government is establishing a new $100 million Outcomes Fund from 2024–25 and is consulting with stakeholders on the design.    The Outcomes Fund will make contractual payments to states, territories and service providers based on the delivery of agreed, measurable outcomes in local communities.","Indigenous communities in Australia","View","","$100M (AUD)","","","14/06/2024 05:07 PM","","Government of Australia","iso"
"More details","Economie circulaire","France","10.7","Active","10,000,000.0","EUR","The Circular economy fund is promoted by ADEME (the French agency for ecological transition) to support the emergence of innovative projects to protect the environment and the circular economy in particular (including the management of organic waste, re-use and recycling, city waste management, etc).","French citizens","View","View","€10M","","","15/06/2024 07:52 PM","INDIGO-FUND-0021","ADEME - Agence de la transition écologique","impactdb_of_15"
"More details","Education Outcomes Fund - Ghana","Ghana","30.0","Active","30,000,000.0","USD","The Education Outcomes Fund and the Ghana Accountability for Learning Outcomes Project (GALOP) aims to 'improve the quality of education in low performing basic education schools and strengthen education sector equity and accountability in Ghana.""","Students at low-performing basic education schools in Ghana","View","View","$30M","","","15/06/2024 07:25 PM","INDIGO-FUND-0018","Education Outcomes Fund (EOF), Government of Ghana","impactdb_of_12"
"More details","Egalité Des Chances Economiques","France","10.7","Historic","10,000,000.0","EUR","The Egalité des chanches économiques was an outcome funds supported by the French Ministry of social economy, solidarity and responsibility to promote inclusive economic opportunities, with particular attention to access to employment, access to entrepreneurial opportunities and access to financial services.","French citizens","View","View","€10M","","","15/06/2024 07:48 PM","INDIGO-FUND-0020","Secrétariat d'État Chargé de l'Économie sociale, solidaire et responsable","impactdb_of_14"
"More details","Fair Chance Fund","United Kingdom","19.0","Historic","15,000,000.0","GBP","The Fair Chance Fund was a 3-year social impact bond programme which ran from January 2015 to December 2017.  The aim was to improve accommodation, education, and employment outcomes for homeless young people aged 18-24. It was funded on a payment-by-results basis, with projects backed by social impact bonds.","Homeless young people aged 18 to 24","View","View","£15M","View","","15/06/2024 05:05 PM","INDIGO-FUND-0005","Ministry of Housing, Communities & Local Government (MHCLG)","impactdb_of_4"
"More details","GLA Rough Sleeping Programme","United Kingdom","6.3","Historic","5,000,000.0","GBP","The GLA Rough Sleeping programme aimed to improve outcomes for homeless individuals in London using an outcomes-focused approach to promote a move into settled accommodation and more stable lifestyles.","Rough sleepers in London","","View","£5M","","","15/06/2024 06:48 PM","INDIGO-FUND-0015","Greater London Authority (GLA)","impactdb_of_10"
"More details","Haiti Impact Facility","Haiti","2.0","Active","2,000,000.0","USD","The overall objective of the Haiti Impact Facility (HIF) is greater efficiency and impact in the delivery of IDB development assistance and Haitian government-funded services, particularly for vulnerable populations. The HIF delivers the foundational architecture for testing and learning from multiple pay-for-success financing operations that are executed in parallel and sequentially (depending on the activity).","Vulnerable populations in Haiti","View","View","$2M","","","16/06/2024 10:49 AM","INDIGO-PL-0057","IADB","impactdb_of_24"
"More details","Impact-Linked Fund for Education","Multiple","0.0","Not known","0.0","USD","High-impact education enterprises provide innovative, sustainable and inclusive solutions in their respective region and field of activity","Vulnerable, low-income children and youth in (pre-)elemantary and secondary school age.","View","View","0","","Press release:  https://ilf-fund.org/wp-content/uploads/2021/11/Press-Release-Launch-Impact-Linked-Fund-for-Education-Dec.-2021.pdf","16/06/2024 10:58 AM","INDIGO-PL-0058","Impact-Linked Finance Fund (ILFF)","impactdb_of_25"
"More details","Impact-Linked Fund for Gender Inclusive FinTech","Various","21.0","Pipeline","21,000,000.0","USD","Catalyzing women’s financial inclusion with Impact-Linked Finance   Although female financial inclusion offers disproportionately deep and lasting impact benefits, women consistently continue to make up the majority of the world’s poor and financially excluded. Inclusive fintech solutions in emerging markets hold significant potential to close financial inclusion gaps by accelerating cost-effective and convenient access to financial services for women. Despite this, private sector investments in fintech companies are not geared toward leveraging this potential. Women-led fintechs and those that are already gender-inclusive struggle to access the capital they need to scale.  Impact-Linked Finance holds the potential to resolve this dilemma, aligning incentives to better serve marginalized women. While women are commercially attractive fintech customers in the long term, a targeted approach is needed to better serve them and create lasting value. Impact-Linked Finance enables and encourages this alignment by rewarding positive outcomes with financial incentives. The Impact-Linked Fund for Gender Inclusive Fintech (ILF for GIF) provides Impact-Linked Finance and technical assistance to fintechs to support a stronger focus on gender-transformative outcomes for financial inclusion. Fintechs, identified by renowned impact investment funds, are directly rewarded with financial incentives for achieving social impact, improving their profitability. The investment from the partnering impact funds helps the fintechs to scale, magnifying their impact even further.  In March 2022, this fund secured commitments of USD 13.4 million from the Swiss Agency for Development and Cooperation (SDC) and the Austrian Development Agency in a first closing. The full target fund size is USD 21 million.","Marginalized, low-income women, including migrants.","View","View","$21M","","Delivery locations Sub-Saharan Africa East Asia & Pacific South Asia  Outcomes:  Each case will have specific outcome metrics. Examples: net additional income, increased ownership of productive assets, increased financial literacy, utilisation of financial products and services measured as Net Promoter Score.","16/06/2024 11:04 AM","INDIGO-PL-0059","Impact-Linked Finance Fund","impactdb_of_26"
